"Data Source","World Development Indicators",
"Nicaragua","NIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281000","303000","358000","406000","468000","486000","483000","472000","526000","615000","712000","749000","800000","858000","932000","1011000","1060000","1180000","1229000","","",
"Netherlands","NLD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6574000","6580000","7841000","9312000","9874000","10003000","9500000","9595000","9181000","9646000","10012000","10739000","11008000","10104000","9921000","10883000","11300000","11680000","12783000","","",
"High income: nonOECD","NOC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62812763.3810381","73179906.2678455","77274089.7173699","77231245.0767778","82109483.1655148","91033999.1268025","94129566.4883899","100364363.487696","97490009.5875647","110901652.488455","115458347.610783","122537069.385845","132110829.369281","136033589.827195","126517580.406662","141330599.79122","154200419.679588","161872386.336847","170891492.470408","","",
"Norway","NOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880000","2746000","2702000","3256000","3223000","3104000","3073000","3111000","3269000","3628000","3824000","4070000","4377000","4347000","4346000","4767000","4963000","","","","",
"Nepal","NPL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363000","394000","422000","464000","492000","464000","361000","275000","338000","385000","375000","384000","527000","500000","510000","603000","736000","803000","798000","","",
"New Zealand","NZL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1475000","1596000","1780000","1900000","2026000","2086000","2325000","2353000","2390000","2434000","2371000","2373000","2435000","2511000","2473000","2629000","","",
"High income: OECD","OEC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347015079.741543","359051480.515455","376003930.047993","388584403.717611","403278937.524864","426544128.745176","413437818.925355","415755709.868782","409959917.302979","427640214.01611","447822000","469551000","486246000","481246000","458995000","477665000","498723000","516352437.8686","541265069.24356","","",
"OECD members","OED","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374200079.61243","388345913.117289","404158104.176357","416621516.268835","428679886.590578","456372068.087001","443721323.302664","448002526.932143","441758751.737863","465041647.890037","490010000","509820000","533974000","533969000","511528000","532319000","556780000","575444369.600792","603201383.395583","","",
"Oman","OMN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","829000","817000","1039000","1195000","896000","1116000","1271000","1374000","1521000","1442000","1018000","1438000","1551000","","",
"Other small states","OSS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2734360.06971813","3253355.88900155","3485657.5111699","3873204.60766538","4087375.37151814","4537247.29347343","4653964.69387996","4923661.21132419","5430201.67515379","5721380.03288664","6165289.68014729","6384894.6841026","7710879.77472197","8125712.476525","8322785.22987499","8704953.93941007","9423670.64927931","9941060.37391445","10713415.8991715","","",
"Pakistan","PAK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","378000","369000","375000","429000","432000","557000","500000","498000","501000","648000","798000","898000","840000","823000","855000","907000","1161000","966000","","","",
"Panama","PAN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345000","362000","421000","431000","457000","484000","519000","534000","566000","621000","702000","843000","1103000","1247000","1200000","1324000","1473000","1606000","1658000","","",
"Peru","PER","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479000","584000","649000","726000","694000","800000","901000","1064000","1136000","1350000","1571000","1721000","1916000","2058000","2140000","2299000","2598000","2846000","3164000","","",
"Philippines","PHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760000","2049000","2223000","2149000","2171000","1992000","1797000","1933000","1907000","2291000","2623000","2843000","3092000","3139000","3017000","3520000","3917000","4273000","4681000","","",
"Palau","PLW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53000","69000","74000","64000","55000","58000","54000","59000","63000","89000","81000","82000","88000","79000","72000","86000","109000","119000","105000","","",
"Papua New Guinea","PNG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42000","61000","66000","67000","67000","58000","54000","54000","56000","59000","69000","78000","104000","114000","121000","140000","158000","168000","174000","","",
"Poland","POL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19215000","19410000","19520000","18780000","17950000","17400000","15000000","13980000","13720000","14290000","15200000","15670000","14975000","12960000","11890000","12470000","13350000","14840000","15800000","","",
"Puerto Rico","PRI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3131000","3065000","3242000","3396000","3024000","3341000","3551000","3087000","3238000","3541000","3686000","3722000","3687000","3716000","3183000","3186000","3048000","3069000","3200000","","",
"Korea, Dem. Rep.","PRK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4572000","4567000","4798000","5539000","5379000","5599000","5392000","5560000","6383000","5654000","5769000","6349000","6788000","6962000","6439000","6756000","7264000","7503000","8097000","","",
"Paraguay","PRY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438000","426000","395000","350000","269000","289000","279000","250000","268000","309000","341000","388000","416000","428000","439000","465000","524000","579000","610000","","",
"Pacific island small states","PSS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542902.29602984","584929.511915471","610425.429718586","623813.247561148","665723.964371554","570490.697016825","606645.002120741","669763.551534003","714300","831300","874200","889500","919800","976600","960200","1060500","1114000","1134622.21423436","1112006.16194851","","",
"French Polynesia","PYF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172000","164000","180000","189000","211000","252000","228000","189000","213000","212000","208000","222000","218000","196000","160000","154000","163000","169000","164000","","",
"Qatar","QAT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309000","327000","333000","320000","357000","378000","376000","587000","557000","732000","913000","946000","964000","1405000","1482000","1700000","2057000","2346000","2611000","","",
"Romania","ROU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5445000","5205000","5149000","4831000","5224000","5264000","4938000","4794000","5595000","6600000","5839000","6037000","7722000","8862000","7575000","7498000","7611000","7937000","8019000","","",
"Russian Federation","RUS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10290000","16208000","17463000","16188000","18820000","21169000","21595000","23309000","22521000","22064000","22201000","22486000","22909000","23676000","21339000","22281000","24932000","28177000","30792000","","",
"Rwanda","RWA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104000","113000","","","","","494000","566000","507000","502000","504000","688000","815000","864000","","",
"South Asia","SAS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3819287.40970641","3940680.35889312","4172245.06028291","4291597.79183623","4541524.45192653","4839396.22640149","4497659.77280864","4333422.25332073","4979151.13428872","6072707.78578585","6383840.97487786","7250933.46906868","8088442.80757535","8387334.69086701","8086402.58994196","9258507.62032461","10419391.4537236","10752967.0367829","11713153.6494669","","",
"Saudi Arabia","SAU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3325000","","","","","6585000","6727000","7511000","7332000","8599000","8037000","8620000","11531000","14757000","10897000","10850000","17498000","14276000","13380000","","",
"Sudan","SDN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000","38000","30000","38000","39000","38000","50000","52000","52000","61000","246000","328000","436000","440000","420000","495000","536000","575000","591000","","",
"Senegal","SEN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","495000","667000","769000","866000","875000","867000","810000","900000","968000","962000","1063000","","",
"Singapore","SGP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6070000","6048000","5894000","5122000","5604000","6062000","5857000","5855000","4703000","6553000","7079000","7588000","7957000","7778000","7488000","9161000","10390000","11098000","11899000","","",
"Solomon Islands","SLB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","10000","14000","16000","","5000","","","7000","5600","9000","11000","14000","16000","18300","20500","22900","23900","24400","","",
"Sierra Leone","SLE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","22000","8000","13000","11000","16000","24000","28000","38000","44000","40000","34000","32000","36000","37000","39000","52000","60000","81000","","",
"El Salvador","SLV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235000","283000","387000","542000","658000","795000","735000","798000","720000","951000","1127000","1279000","1339000","1385000","1091000","1150000","1184000","1255000","1283000","","",
"San Marino","SMR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","30000","28000","36000","34000","43000","49000","46000","41000","42000","50000","50000","69000","115000","151000","120000","156000","139000","70000","","",
"Somalia","SOM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000","339000","392000","453000","469000","696000","646000","645000","683000","764000","810000","922000","","",
"Sub-Saharan Africa (developing only)","SSA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13507054.4060703","15415812.0081712","15327275.6435811","17406715.2592832","18098696.8456848","18354591.0170249","18929980.9334788","20284490.1663858","21380671.0561392","22695805.0414153","24650132.0051405","27633788.5423525","30544858.2302389","31257082.5990793","29337825.3829888","32397572.4747162","34202590.2761043","35318541.4854204","36574505.0957531","","",
"South Sudan","SSD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (all income levels)","SSF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13654489.7791124","15575800.728809","15486056.8904284","17564151.2259167","18252964.3230977","18514801.5543822","19090493.2693801","20448136.041578","21533564.0035121","22848624.8421491","24813414.8917398","27804805.3273868","30739394.5738327","31450033.6316393","29528258.6661662","32608422.0872818","34436187.1121952","35568924.9811183","36851930.0619722","","",
"Small states","SST","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8026749.14326262","8650288.71856666","9053161.46113312","9455710.95731614","9849172.67905795","10319491.6699027","10317116.8666439","10635016.6665148","11450727.8325124","12197701.7983366","12849867.5300369","13169123.9646736","14442165.4260352","14867471.3615267","14770629.8917401","15468957.5034157","16302217.3728969","16965526.7648659","17516583.0066571","","",
"Sao Tome and Principe","STP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","6000","5000","6000","6000","7000","8000","9000","10000","11000","16000","12000","12000","14000","15000","8000","12000","","","","",
"Suriname","SUR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43000","53000","61000","55000","57000","57000","54000","60000","82000","138000","161000","154000","167000","151000","151000","205000","220000","240000","249000","","",
"Slovak Republic","SVK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5660000","5719000","6184000","6579000","7269000","6643000","5298000","5415000","5961000","6235000","","","",
"Slovenia","SVN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","732000","832000","974000","977000","884000","1090000","1219000","1302000","1373000","1499000","1555000","1617000","1751000","1958000","1824000","1869000","2037000","2156000","2259000","","",
"Sweden","SWE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2310000","2376000","2388000","2573000","2595000","3828000","4108000","4276000","4268000","4676000","4883000","4729000","5224000","4555000","4899000","5183000","5222000","5146000","5229000","","",
"Swaziland","SWZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","315000","269000","284000","289000","281000","283000","256000","461000","459000","837000","873000","869000","756000","908000","868000","879000","889000","968000","","",
"Sint Maarten (Dutch part)","SXM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460000","365000","439000","458000","445000","432000","403000","381000","428000","475000","468000","468000","469000","475000","440000","443000","424000","457000","467000","","",
"Seychelles","SYC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121000","131000","130000","128000","125000","130000","130000","132000","122000","121000","129000","141000","161000","159000","158000","175000","194000","208000","230000","","",
"Syrian Arab Republic","SYR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815000","830000","891000","1267000","1386000","2100000","2192000","2661000","2598000","3399000","3571000","4231000","4158000","5430000","6092000","8546000","5070000","","","","",
"Turks and Caicos Islands","TCA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79000","88000","93000","111000","121000","152000","166000","155000","164000","173000","176000","248000","265000","352000","351000","281000","354000","292000","291000","","",
"Chad","TCD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46000","77000","61000","70000","71000","77000","86000","100000","","",
"Togo","TGO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53000","58000","92000","69000","70000","60000","57000","58000","61000","83000","81000","94000","86000","74000","150000","202000","300000","235000","327000","","",
"Thailand","THA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6952000","7244000","7294000","7843000","8651000","9579000","10133000","10873000","10082000","11737000","11567000","13822000","14464000","14584000","14150000","15936000","19230000","22354000","26547000","","",
"Tajikistan","TJK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325000","207000","160000","183000","244000","208000","","",
"Turkmenistan","TKM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218000","217000","257000","300000","","3000","5000","11000","8000","15000","12000","6000","8000","","","","","","","","",
"Timor-Leste","TLS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","22000","36000","44000","40000","51000","58000","","","",
"Tonga","TON","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000","27000","26000","27000","31000","35000","32000","37000","40000","41000","42000","39000","46000","50000","46000","47000","46000","48000","45000","","",
"Trinidad and Tobago","TTO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260000","266000","324000","334000","358000","399000","383000","384000","409000","443000","463000","461000","449000","437000","419000","388000","431000","455000","434000","","",
"Tunisia","TUN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4120000","3885000","4263000","4718000","4832000","5058000","5387000","5064000","5114000","5998000","6378000","6550000","6762000","7050000","6901000","6903000","4785000","5950000","6269000","","",
"Turkey","TUR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7083000","7966000","9040000","8960000","6893000","9586000","10783000","12790000","13341000","16826000","20273000","18916000","26122000","29792000","30187000","31364000","34654000","35698000","37795000","","",
"Tuvalu","TUV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","1000","1000","1000","1100","1100","1100","1300","1400","1300","1100","1100","1100","1700","1600","1700","1200","","","","",
"Tanzania","TZA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285000","315000","347000","450000","564000","459000","501000","550000","552000","566000","590000","622000","692000","750000","695000","754000","843000","1043000","1063000","","",
"Uganda","UGA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160000","174000","175000","195000","189000","193000","205000","254000","305000","512000","468000","539000","642000","844000","807000","946000","1151000","1197000","1206000","","",
"Ukraine","UKR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3716000","3854000","7558000","6208000","4232000","6431000","9174000","10517000","12514000","15629000","17631000","18936000","23122000","25449000","20798000","21203000","21415000","23013000","24671000","","",
"Upper middle income","UMC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97750573.1045182","102950257.043381","104224633.785551","110408018.349423","114832497.947297","129051642.015721","135176004.234308","144096093.055104","139562889.462653","168020742.378048","181370436.487553","191144946.497515","213342012.614909","222162053.109132","217943767.160143","232926410.013787","244830061.299934","255785462.993122","264874766.238308","","",
"Uruguay","URY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022000","2152000","2316000","2163000","2073000","1968000","1892000","1258000","1420000","1756000","1808000","1749000","1753000","1938000","2055000","2353000","2857000","2695000","2683000","","",
"United States","USA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43490000","46636000","47875000","46377000","48509000","51238000","46927000","43581000","41218000","46086000","49206000","50977000","56135000","58007000","55103000","60010000","62821000","66657000","69768000","","",
"Uzbekistan","UZB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92000","173000","960000","811000","487000","302000","345000","332000","231000","262000","242000","560000","903000","1069000","1215000","975000","","","1969000","","",
"St. Vincent and the Grenadines","VCT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60000","58000","65000","67000","68000","73000","71000","78000","79000","87000","96000","97000","90000","84000","75000","72000","74000","74000","72000","","",
"Venezuela, RB","VEN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700000","759000","814000","685000","587000","469000","584000","432000","337000","486000","706000","748000","756000","699000","562000","526000","595000","988000","986000","","",
"Virgin Islands (U.S.)","VIR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454000","373000","393000","422000","484000","546000","527000","520000","538000","563000","593000","570000","586000","574000","563000","590000","532000","580000","570000","","",
"Vietnam","VNM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351000","1607000","1716000","1520000","1782000","2140000","2330000","2628000","2429000","2928000","3477000","3583000","4229000","4236000","3747000","5050000","6014000","6848000","7572000","","",
"Vanuatu","VUT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44000","46000","50000","52000","51000","58000","53000","49000","50000","61000","62000","68000","81000","91000","101000","97000","94000","108000","110000","","",
"West Bank and Gaza","PSE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000","210000","200000","300000","310000","43000","33000","37000","56000","88000","123000","264000","387000","396000","522000","449000","490000","545000","","",
"World","WLD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549854516.648986","581171144.970285","610088375.366079","628215138.843988","653865941.692238","706484480.273604","705503120.908345","727284606.701867","717890424.599109","791610926.692271","837159574.388166","881331251.438369","944182510.100809","959829297.705571","919034551.021434","979887487.643878","1025303086.44546","1071612063.54557","1123200395.43052","","",
"Samoa","WSM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68000","73000","68000","78000","85000","88000","88000","89000","92000","98000","102000","110000","117000","118000","122000","122000","121000","126000","116000","","",
"Yemen, Rep.","YEM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61000","74000","80000","88000","58000","73000","76000","98000","155000","274000","336000","1061000","948000","1023000","1028000","1025000","829000","874000","990000","","",
"South Africa","ZAF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4488000","4915000","4976000","5732000","5890000","5872000","5787000","6430000","6505000","6678000","7369000","8396000","9091000","9592000","7012000","8074000","8339000","9188000","9537000","","",
"Congo, Dem. Rep.","COD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","37000","30000","53000","80000","103000","55000","28000","35000","36000","61000","55000","47000","50000","53000","81000","186000","167000","191000","","",
"Zambia","ZMB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163000","264000","341000","362000","404000","457000","492000","565000","413000","515000","669000","757000","897000","812000","710000","815000","920000","859000","915000","","",
"Zimbabwe","ZWE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416000","1597000","1336000","2090000","2250000","1967000","2217000","2041000","2256000","1854000","1559000","2287000","2506000","1956000","2017000","2239000","2423000","1794000","1833000","","",
